Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,-0.00278872,-0.00648541,-0.215374587,0.215490256
0.01001,-0.018568162,-0.006961352,-0.170918207,0.172064727
0.02002,0.015868676,-0.033962721,-0.247555323,0.250377554
0.030029,-0.001692915,-0.018222962,-0.209534388,0.210332123
0.040039,-0.00724534,-0.005927035,-0.169873309,0.170131026
0.050049,0.016761839,-0.009684099,-0.237384092,0.238172097
0.060059,-0.013850857,0.003165641,-0.206847008,0.207334397
0.070068,-0.022975154,0.020393537,-0.173465838,0.176165125
0.080078,0.020299413,0.017021048,-0.212983076,0.21462426
0.090088,0.011297542,0.003989642,-0.220075749,0.220401649
0.100098,-0.036669899,0.002987891,-0.174866831,0.178695321
0.110107,0.0005145,0.007568133,-0.205849473,0.205989191
0.120148,0.01527924,-0.012537837,-0.233419095,0.234254405
0.130157,-0.019826693,-0.004420687,-0.192673942,0.193741808
0.140167,-0.016100226,0.003575892,-0.198398366,0.199082686
0.150177,0.009245855,-0.001393967,-0.212970212,0.213175374
0.160187,-0.012914069,0.007040552,-0.199185986,0.199728314
0.170197,-0.014618377,0.010290985,-0.190497608,0.191334628
0.180206,0.00477713,0.002902101,-0.207139369,0.207214771
0.190216,-0.001030188,0.013520444,-0.198450406,0.198913115
0.200226,-0.001039809,0.005891705,-0.189746241,0.189840537
0.210236,0.005244404,-0.008736476,-0.209060764,0.209308941
0.220245,0.004147503,-0.011081168,-0.194397701,0.194757439
0.230255,-0.0110638,-0.004108811,-0.195739052,0.196094535
0.240295,-0.000460505,-0.010337087,-0.21071728,0.210971182
0.250305,-0.01733789,0.000238356,-0.193214809,0.193991293
0.260315,-0.016926438,0.007912114,-0.18917029,0.19009078
0.270325,0.00626002,0.004134475,-0.199801113,0.199941908
0.280334,-0.004292048,0.012379903,-0.191716753,0.192163984
0.290344,-0.011143313,0.003926396,-0.179733469,0.180121375
0.300354,-0.002641708,-0.001110797,-0.197389721,0.197410523
0.310364,0.001472786,-0.003343054,-0.195147899,0.195182088
0.320374,-0.005327782,-0.001275986,-0.187511435,0.187591449
0.330383,-0.006905726,-0.003339235,-0.190963047,0.191117044
0.340393,0.000986973,-0.006252044,-0.196210923,0.196312986
0.350403,-0.000450784,-0.00365551,-0.18378325,0.183820154
0.360443,-0.001073192,0.002491686,-0.194414658,0.194433586
0.370453,0.004497907,0.005028313,-0.195166025,0.195282596
0.380463,-0.006329392,-0.0007278,-0.183938202,0.184048507
0.390472,-0.00587869,0.000863903,-0.188426524,0.188520186
0.400482,-0.003223698,-0.006764342,-0.185733297,0.185884389
0.410492,-0.006496732,-0.001176981,-0.191570572,0.191684316
0.420502,0.002458124,0.003185431,-0.188275666,0.188318655
0.430511,0.003126442,0.002418527,-0.188126562,0.188168083
0.440521,-0.002040276,0.001022194,-0.185880647,0.185894654
0.450531,-0.002266225,0.003292334,-0.187676911,0.187719467
0.460541,-0.003581639,-0.0018501,-0.190673025,0.190715635
0.470551,-0.000880088,0.004878442,-0.18169404,0.181761652
0.480591,-0.005536308,0.009654731,-0.179597813,0.179942322
0.490601,-0.004746185,0.006677708,-0.178400304,0.178588315
0.50061,-0.003846317,-0.004050978,-0.158791666,0.158889892
0.51062,0.001811659,-0.000274426,-0.226748006,0.22675541
0.52063,0.004381437,-0.016192475,-0.172411001,0.173225132
0.53064,-0.007910095,0.005660799,-0.181393493,0.181654105
0.540649,-0.00018416,-0.000248123,-0.187081665,0.18708192
0.550659,0.002412031,-0.002869704,-0.174956294,0.174996451
0.560669,-0.021603013,5.55942E-05,-0.184686645,0.185945826
0.570679,-0.002437147,-0.00144318,-0.175107152,0.175130058
0.580688,-0.009280701,-0.000415166,-0.203548009,0.203759897
0.590698,-0.025619585,0.003172229,-0.163282328,0.165310449
0.600739,-0.007718663,0.00293554,-0.184086721,0.184271853
0.610748,0.002304543,-0.007093623,-0.188428279,0.188575838
0.620758,-0.006910952,-0.00534928,-0.173908473,0.174127921
