Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,-0.223324096,0.453987033,0.072179784,0.511065357
0.01001,-0.266625286,0.575328525,-0.598722723,0.872101401
0.020019,-0.122334861,0.460174045,-0.879791363,1.000379334
0.030029,0.312560172,0.305507224,-0.778043379,0.892401268
0.040039,0.419993587,0.520461542,-1.315341101,1.47560057
0.050049,0.551084982,0.307227328,-1.788122401,1.896171144
0.060058,0.750801055,0.122129478,-0.19476783,0.785208469
0.070068,-0.304710687,1.129982684,-1.172693013,1.656779518
0.080078,-0.317176731,1.474480384,-1.343954451,2.020125503
0.090088,0.00944762,0.989403194,1.435772694,1.743688954
0.100128,0.138476027,0.629078105,-1.15493268,1.32241611
0.110138,-0.913218141,0.91663825,-4.804017416,4.975216215
0.120148,-1.622636988,1.12631436,4.108922054,4.559032275
0.130157,-0.720525853,1.302487752,3.839670053,4.118093972
0.140167,0.68728202,1.084451293,-2.50848709,2.817960018
0.150177,-0.779694486,0.808301916,-2.070335925,2.355327222
0.160187,-1.588036821,0.345422584,6.28916283,6.495748363
0.170196,0.093403532,0.584908384,2.228293194,2.305674
0.180206,-0.518196294,1.104524857,-5.188803383,5.330307974
0.190216,-0.992131578,0.134414843,-2.859073861,3.029306152
0.200226,1.00040802,-1.479614824,1.484326218,2.32234807
0.210235,0.542790743,-0.06014066,3.52425136,3.566312709
0.220276,1.13456712,-2.176249758,0.124140481,2.457379991
0.230285,1.448144964,-1.628236136,-6.944020577,7.277891077
0.240295,-0.98717811,1.403536409,-7.323704263,7.522039564
0.250305,-1.33732824,0.624647962,-0.572527197,1.583167486
0.260315,-1.67278578,0.90904469,-0.780194569,2.057493154
0.270325,1.26068016,2.054611739,-1.744364178,2.975491598
0.280334,1.413654577,2.578111056,9.477738987,9.923336747
0.290344,-0.219719653,0.807604489,0.550475008,1.001760685
0.300354,0.928443121,-2.283464158,-4.404904602,5.047712328
0.310364,0.033299363,0.889328683,-3.024082872,3.152315271
0.320373,-0.189207347,0.476752728,17.72088517,17.72830685
0.330383,0.054153695,0.767578324,4.237933266,4.307225032
0.340423,0.808604144,-0.405391993,-7.84747913,7.89943745
0.350433,1.654015048,-1.592812242,-6.935121115,7.305389893
0.360443,-0.334678032,2.269396927,-8.649208995,8.948239381
0.370453,-1.690100993,0.942556545,4.268393167,4.686580249
0.380462,-1.075940451,1.099553993,-5.930181795,6.126477207
0.390472,-0.716463281,0.702090386,-11.24002313,11.28469629
0.400482,1.085685421,2.545452603,-0.026330597,2.767441975
0.410492,-0.942726553,2.964709367,23.60554171,23.80965843
0.420502,-1.271359515,2.333554185,2.214314255,3.45904868
0.430511,0.735925738,0.801678701,1.609242041,1.942661931
