Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,-0.031029967,-0.080981086,-0.172406323,0.192988952
0.01001,-0.004873599,-0.073522013,-0.212058046,0.224494662
0.020019,-0.003759632,-0.056459179,-0.193782574,0.201874862
0.030029,-0.019799312,-0.035164132,-0.197065201,0.201154722
0.040039,-0.00269447,-0.004646782,-0.193784328,0.193858759
0.050049,-3.22145E-05,0.007148733,-0.197823585,0.197952712
0.060058,-0.018804061,0.009972353,-0.198869652,0.200005447
0.070068,-0.002414717,0.00642112,-0.191823172,0.191945802
0.080109,-0.001328871,-0.036927798,-0.197353469,0.200783016
0.090118,-0.016432576,-0.008562224,-0.190539708,0.191438558
0.100128,-0.008297729,0.016308396,-0.194376066,0.195235425
0.110138,-0.004953487,0.022262835,-0.196185195,0.197506459
0.120148,-0.005872322,0.014928161,-0.199447941,0.200092017
0.130157,-0.002001429,0.01530516,-0.197402,0.198004554
0.140167,-0.00336933,-0.009063477,-0.195347289,0.195586457
0.150177,-0.006534629,-0.022647289,-0.193651596,0.19508086
0.160187,0.000101358,-0.021143751,-0.185136296,0.186339788
0.170196,-0.008744054,-0.006509559,-0.186473554,0.186791915
0.180206,-0.004866144,-0.012212714,-0.193587277,0.194033151
0.190246,-0.001825884,-0.003278826,-0.196001592,0.196037519
0.200256,-0.001574399,-0.013505095,-0.197068124,0.197536609
0.210266,-0.005746881,-0.017355048,-0.191216231,0.192088186
0.220276,0.002010163,-0.020976301,-0.196125553,0.19725435
0.230286,0.003209062,-0.014358861,-0.191494558,0.192058952
0.240295,-0.040048439,0.019275346,-0.236639156,0.240776882
0.250305,0.029668644,0.137330046,-0.206668083,0.249902914
0.260315,0.043064561,0.133754985,-0.133356863,0.193724044
0.270325,-0.012174616,0.050688124,-0.194047453,0.200927651
0.280334,0.022898172,0.037842083,-0.22561774,0.229912405
0.290344,-0.00864911,0.02453309,-0.155113767,0.157279879
0.300384,0.002089521,0.016719748,-0.20213883,0.202839894
0.310394,0.000944746,-0.001019462,-0.185661961,0.185667163
0.320404,0.001520258,-0.02341079,-0.183403766,0.184898128
0.330414,0.350914654,-0.042707917,-0.173786851,0.393912338
0.340423,0.754061389,0.066209265,-0.266050651,0.802356027
0.350433,0.570469343,0.125718718,-0.093796356,0.591640282
0.360443,0.755238287,0.05679978,-0.355563337,0.836681763
0.370453,1.037578258,-0.099332792,-0.042557205,1.043190664
0.380463,0.504708888,-0.275023788,-0.437054812,0.722070671
0.390472,-0.502533467,-0.522106145,-0.034453549,0.725480365
0.400482,-0.84312552,-0.359321634,0.22014533,0.942569173
0.410522,-0.495027908,-0.201984171,-0.693696708,0.875822675
