Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,-0.120113084,-0.390722425,-0.172671202,0.44374149
0.01001,0.058317132,-0.337997131,-0.124572591,0.364912701
0.02002,0.204478831,-0.128408364,-0.247003931,0.345414594
0.030029,-0.112746798,0.128998714,-0.13278559,0.216759132
0.040039,0.125427655,0.262630907,-0.257918928,0.388882069
0.050049,-0.028591002,0.226987523,-0.198243999,0.302723412
0.060059,0.0309431,0.138984296,-0.193603064,0.240325314
0.070068,0.042283245,-0.077745164,-0.194521077,0.213706885
0.080078,-0.03754404,-0.270383657,-0.139587071,0.306596522
0.090118,0.006434203,-0.170169178,-0.203603557,0.265430512
0.100128,-0.122134978,-0.129457866,-0.179910055,0.253069002
0.110138,-0.072838948,-0.077885132,-0.174531786,0.20453105
0.120148,0.015335639,0.056636935,-0.20855381,0.216650908
0.130157,0.001000459,0.123555175,-0.185499408,0.222883182
0.140167,0.0164281,0.098121322,-0.223280607,0.24444203
0.150177,-0.019498747,-0.010450802,-0.183182157,0.184513205
0.160187,-0.01807241,-0.153141794,-0.185192429,0.240988085
0.170197,-0.049479066,-0.22034801,-0.161845667,0.277840679
0.180206,0.004022665,-0.228792266,-0.1656715,0.282505095
0.190216,-0.024959717,-0.130255719,-0.182882779,0.225910714
0.200256,-0.014469977,0.013791901,-0.171353239,0.172515302
0.210266,0.005743683,0.122100534,-0.210930119,0.243788936
0.220276,-0.005094314,0.12307278,-0.178883868,0.21719185
0.230286,0.014189511,0.020118953,-0.197116072,0.198647578
0.240295,-0.020819834,-0.092974822,-0.159488069,0.185780051
0.250305,-0.004358131,-0.158750736,-0.172551334,0.234509599
0.260315,-0.010806696,-0.164003216,-0.173399765,0.238916969
0.270325,-0.024119911,-0.080528146,-0.189310623,0.207135377
0.280334,-0.004994198,0.016400709,-0.191376445,0.192142835
0.290344,0.009448297,0.084889511,-0.188978502,0.207384603
0.300354,-0.004133543,0.068288608,-0.179082089,0.19170502
0.31038475,-0.009342297,-0.02598393,-0.176125152,0.178276505
0.32039475,-0.00417842,-0.100513125,-0.170104859,0.197625936
0.33040475,-0.010398816,-0.123827948,-0.164085735,0.205829115
0.34041475,-0.006534428,-0.087038436,-0.167202301,0.188613355
0.35042375,0.005664655,-0.029863777,-0.179871463,0.1824217
0.36043375,0.009458602,0.045455231,-0.179615355,0.185519053
0.37044375,0.0027407,0.050228021,-0.180588917,0.187463923
0.38045375,0.002617835,-0.006386329,-0.184598937,0.184727924
0.39046275,-0.004243507,-0.061342409,-0.16857932,0.179443266
0.40047275,0.000968463,-0.092678368,-0.162820398,0.187351807
0.41048275,-0.009373781,-0.075041338,-0.175118262,0.190749773
0.42052275,-0.014821541,-0.021637037,-0.176961889,0.1788948
0.43053275,-0.008665921,0.011655913,-0.184950355,0.185519789
0.44054275,-0.056788761,0.034756873,-0.164329564,0.177305412
0.45055275,0.030710362,0.002176553,-0.155019627,0.158047298
0.46056175,-0.015229292,-0.133455388,-0.213003541,0.251818944
0.47057175,0.116357545,-0.186022222,-0.180000687,0.283802031
0.48058175,-0.063559947,-0.143375117,-0.114458662,0.194157349
0.49059175,0.068343919,0.104827201,-0.210072917,0.244520477
0.50060075,0.044807067,0.092339741,-0.154550681,0.185526855
0.51061075,0.018623893,0.020003179,-0.167794039,0.170005342
0.52062075,0.185893035,0.0552366,-0.197179806,0.276563155
0.53066075,0.160531615,0.051215762,-0.161938637,0.233704035
0.54067075,-0.512415116,-0.113178487,-0.294509634,0.601759541
0.55068075,-0.352856222,-0.125917523,-0.093003473,0.38602122
0.56068975,0.338814353,-0.018175047,-0.303784488,0.455423444
0.57069975,-0.085605631,-0.066509958,-0.095094438,0.144204198
0.58070975,-0.109231415,-0.088270737,-0.146763359,0.203132244
0.59071975,-0.014141418,-0.162735613,-0.210361184,0.266335667
0.60072975,0.160567283,-0.005210454,-0.146885566,0.217679513
0.61073875,0.248986356,0.023463342,-0.130178901,0.28194198
0.62074875,0.178638961,0.018076448,-0.150013826,0.23397176
0.63078875,-0.178559129,-0.015236601,-0.216859195,0.281324416
0.64079875,-0.398559412,-0.031372212,-0.215585672,0.454214709
0.65080875,0.308316519,0.061050194,-0.168291637,0.356522477
0.66081875,-0.181095158,-0.14184395,-0.139160809,0.268851061
0.67082775,0.01568353,-0.1020057,-0.155206153,0.186386926
0.68083775,0.165556675,0.097528707,-0.19245701,0.271956912
0.69084775,-0.252199383,0.099155402,-0.182195147,0.326544628
0.70085775,0.118672713,0.136133413,-0.200503364,0.269846471
